muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[57.290988089046024, 35.00282874756836, 36.28372479205937, 24.882011914446473, 28.351262071636324]","[12.377478968907615, 30.021783503271358, 5.4265318347127085, 23.99642409804882, 18.168473330297772]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7228167647319005, 0.8300016668554582, 0.4285709795561946, 0.7492342455554208, 0.17012424197739762]","[6.551531010887346, 15.839337395154637, 3.8952614513344725, 4.183908122644249, 7.621119756368014]","[108.99866, 173.19267, 63.354584, 137.94916, 117.2126]","[0.26825, 0.03685243055555556, 0.27800130208333335, 0.22499869791666666, 0.07201953125]"
DELT1,"[24.508449565267625, 23.826885224763544, 25.827107438821784, 4.990661271123635, 90.18074757084737]","[14.339698731496746, 3.3283543182061877, 24.83555006752994, 35.51544859886975, 18.515980303511245]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.537369280701813, 1.6335913756049498, 1.0444573905090198, 0.4739135883238852, 2.2107576022935405]","[9.635650239433199, 9.626916153227278, 3.0690439693906995, 1.0508388296644222, 16.45784617816918]","[132.13148, 118.24263, 114.995415, 116.89862, 177.2184]","[0.03902300347222222, 0.015616319444444445, 0.16431640625, 0.26632942708333335, 0.07566840277777778]"
DELT2,"[22.365273308572753, 29.047846539135783, 0.21116396649181013, 5.929427801072379, 2.1080971823913472]","[33.9861348882607, 7.722452174040704, 35.47209408274038, 36.86030611943703, 19.44395073439937]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.8608533149366924, 4.429954810078552, 3.279183434730034, 3.2224305126239066, 2.097869835581751]","[11.287719054079052, 11.385389639561993, 14.839322612461029, 2.890168569028059, 4.237187233256035]","[123.763145, 115.91341, 150.16858, 136.54376, 84.27535]","[0.13575130208333333, 0.23417621527777777, 0.02587673611111111, 0.2912074652777778, 0.08228819444444445]"
DELT3,"[19.450557090060443, 42.23153989895335, 12.537761229870014, 10.746842454142502, 24.69406098192183]","[17.06965857880317, 18.280233631905357, 1.8003792365390012, 13.896449254904802, 15.123000369795683]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.2295563936852973, 0.934185919220142, 1.2899565867274925, 1.7566216579645175, 0.4123151070075419]","[6.020631398036469, 11.638813367459214, 5.860472093232857, 3.2544836193327793, 6.48603632626304]","[150.41978, 157.93587, 86.06884, 149.13243, 109.966736]","[0.18978168402777779, 0.20948567708333332, 0.06731380208333333, 0.2369704861111111, 0.24829557291666668]"
INFSP,"[1.4914596416725772, 89.28309216760208, 42.41685529847589, 7.325729312543224, 107.04600382328425]","[18.389771440574258, 13.427032744213527, 1.7996938083922238, 16.055483883621868, 0.9928426901990051]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.007303740055882635, 0.3415385511763551, 0.47989411553597144, 0.2124759739278863, 1.2201701676085364]","[6.647717333417098, 0.21497929555090334, 0.044214457467168344, 0.3123760661126145, 0.07500288120079723]","[147.7796, 143.48372, 60.118305, 139.47427, 127.47444]","[0.044858506944444446, 0.1980230034722222, 0.20565277777777777, 0.22797873263888888, 0.2073025173611111]"
LAT1,"[27.397453498726932, 26.689582119145705, 16.6099394295009, 28.86276724906972, 5.513450058846775]","[55.705624689783505, 22.204438755078346, 6.684404493815331, 47.69015107364376, 35.747958237098665]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.180588902051425, 4.252109356022712, 2.9376631418908774, 3.3287284144052927, 1.8029601723517104]","[12.156247905790526, 10.063151492776742, 8.025049356657323, 10.570548283680896, 2.649426094449798]","[123.52113, 128.79593, 85.52609, 119.99495, 71.729095]","[0.11180164930555556, 0.16148177083333334, 0.0405703125, 0.26237803819444444, 0.2140625]"
LAT2,"[3.6196471833368733, 6.365817779916561, 4.335224123388773, 17.056522575279928, 5.47182362950192]","[43.49041046928946, 23.118052598480602, 8.74754704857892, 59.183251829889386, 20.819336257925336]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.8057173650081548, 2.411579375458304, 1.8871372569419527, 4.178489625877446, 1.555898421434558]","[7.208949833991945, 3.700397894026321, 3.734010297338116, 8.278466573822506, 6.48805328489121]","[93.24359, 90.31397, 65.36783, 171.35075, 66.51232]","[0.07650043402777777, 0.1825876736111111, 0.07119401041666666, 0.2515073784722222, 0.045746527777777775]"
LAT3,"[16.219816031606555, 3.725963815257117, 8.218288453672287, 0.46119159989010683, 7.145386580311055]","[45.81629841215199, 50.197379245244385, 17.923042771234858, 1.1394017791599538, 10.388903902465103]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.7030901556554543, 3.3344836518701424, 1.3252898462847114, 1.8781278882739083, 2.0934238945951]","[8.367967973531798, 5.194608590213434, 3.6556539313683203, 5.085867227280126, 2.2953781510451434]","[93.260254, 142.37111, 54.2361, 60.040703, 68.491135]","[0.08727300347222222, 0.11285633680555555, 0.09775260416666667, 0.015635416666666666, 0.21535850694444444]"
PECM1,"[102.20688815334401, 10.769430599996767, 30.04603716542158, 27.53156604135704, 79.72110299744003]","[56.25994941847909, 1.0884274092024881, 13.719734172899482, 10.044936362903709, 6.782171440209481]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.20732850159050464, 2.117898441888352, 2.3168456578149064, 2.5490706529954577, 2.9360482074692813]","[13.157582958864175, 7.058126368405608, 6.063227584043606, 3.444876244523287, 8.357587945021619]","[161.8581, 71.78954, 83.42173, 82.3807, 101.92822]","[0.2283359375, 0.016994357638888888, 0.11370876736111112, 0.25232769097222224, 0.25896440972222223]"
PECM2,"[26.658859465907845, 30.751235813098177, 3.114010432888641, 3.4919868548240203, 41.09980630934942]","[41.53899817223396, 20.90767411110951, 27.749276048955252, 65.23356366014261, 32.36256145099169]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.5376644056448296, 4.6375039632710315, 1.3565212836808798, 2.174087842161925, 3.5521863465916326]","[8.253304689653405, 9.806849133103535, 2.39311462854051, 3.0958698735720285, 9.083054839636302]","[124.30276, 154.77138, 64.15624, 136.34201, 119.996216]","[0.15729079861111112, 0.10616753472222222, 0.18956380208333334, 0.25375390625, 0.21533376736111112]"
PECM3,"[1.2554108429818385, 14.43616694527054, 0.3275378969928937, 5.010305568702396, 7.09585720163485]","[31.686393674436204, 29.09344485793269, 33.053577597207514, 13.270464040972463, 30.699695740734725]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.8855979064097141, 0.021228327470273367, 4.6023264544832525, 1.6649458470324259, 0.894978426367032]","[9.503263864221857, 6.840774332766056, 7.144884102058937, 5.378361142139841, 9.011040811634992]","[113.4494, 76.236565, 168.00676, 64.76828, 91.07731]","[0.07081857638888889, 0.15451085069444445, 0.12023177083333333, 0.07730164930555555, 0.07585199652777778]"
SUBSC,"[4.563704925892864, 25.964723537179818, 4.2031448946028895, 1.690551316155144, 46.04326753910965]","[9.342341916458636, 9.760089400422846, 10.094552950763056, 8.561772774088805, 14.41084043495001]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5712660151300928, 0.7780015145702333, 0.061650616158580474, 0.34243502353783173, 0.7136623988995758]","[3.3029365767409073, 7.4745863648460364, 4.174714834924359, 2.094345129302104, 12.670927557876325]","[87.52632, 106.48734, 67.01847, 69.9038, 137.5394]","[0.049245659722222224, 0.17969184027777776, 0.0319609375, 0.060374131944444444, 0.24977604166666667]"
SUPSP,"[48.55947528384672, 45.51070068897273, 15.515902282440646, 1.2386086802610947, 7.1586348578574786]","[4.488840871055402, 4.040412095159041, 2.426602362499386, 0.7194409027771869, 15.226441144270634]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.3230662491921832, 1.265599413456278, 0.5928949178589583, 1.2687428322140244, 0.363879314247443]","[14.581366100479901, 11.166729540185646, 4.502260029080958, 8.671799290876292, 10.576816182420023]","[162.95807, 150.48123, 73.1828, 147.90121, 180.24008]","[0.18716319444444443, 0.2808728298611111, 0.20771875, 0.022404947916666668, 0.030191840277777778]"
