muscle,coefficients
0,[ 2 28 13 10 26]
1,[ 5 16 20  6 13]
2,[24 27 21 25 14]
3,[25  6 10 22 17]
4,[ 8 23 27  5 24]
5,[ 5  7  9  1 25]
6,[15 23 28 10 12]
7,[27 11 19 26  9]
8,[ 4 12 11  0  1]
9,[ 9 21 18  6 22]
10,[ 9  0 10  4 16]
11,[ 2  5 29  6 25]
12,[28 16  9  2 15]
13,[17 22  4  2 14]
14,[11  0 22 19 28]
15,[29  2 11  5 18]
16,[15 18 28 25 13]
17,[ 4 29  2 14 13]
18,[29  7 22 26 20]
19,[ 4 17 11 19 24]
20,[ 7 20 23 21  6]
21,[14  8  7 12 16]
22,[23  0 26 20 28]
23,[10 28  9 22 27]
24,[ 6 24 28  8 25]
