muscle,coefficients
0,[ 9 10  3  2  0  5 29  8]
1,[18  0 13 10  3  2  4 25]
2,[14  6  8  1  4  0 15 28]
3,[14 12 15 11 21  6  5 20]
4,[ 5 12  3 13 29 26 28 16]
5,[16 29  2 25 19 26  7 15]
6,[16  5  7  8 23 14 24 28]
7,[17 13  9  5 11  6 19  0]
8,[24  1  5  8 23  4 13 19]
9,[14 29 11 12  3 28 19 26]
10,[16 14  2 29 24  1  5 27]
11,[27  3 19 26 16  1 17 20]
12,[27 10 22 29  3 19  9  8]
13,[19 12 25 23  0  4  2  5]
14,[14 22 20 27 19  4  8 24]
15,[ 3  5 16 11 18 19  2  7]
16,[ 5 21  2 29 17  0 16 25]
17,[19 21 12 25  5 24 15 13]
18,[23 22 21 12 20 27 18 10]
19,[23 17 22  3 14 28  9 25]
20,[15 18 10  7  2 21  8 19]
21,[ 4 16 22  6  2 11  9 14]
22,[18  1  8  6 11 19 21 29]
23,[17 10 19 11 18 20 24 21]
24,[ 1 11 28 19  7 21 22 16]
