muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[1.3376535080127159, 12.234402858908272, 5.3345669404409275, 0.6821022472048544, 9.900486122782159]","[3.948323147207275, 5.498151488815067, 5.86000100325371, 4.3029429370980505, 4.359660577731085]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.2830173978226913, 1.99188674208671, 3.02825461795027, 1.6402078214574254, 1.9111685129050877]","[27.489735, 37.024635, 41.45186, 30.30994, 29.661673]","[0.06883203125, 0.18499652777777778, 0.038609375, 0.058528211805555556, 0.12867491319444443]"
DELT1,"[5.26020720149427, 0.6448577334766927, 8.578097976465637, 9.680743994583642, 28.347704180155546]","[9.625435354515275, 6.752826524034375, 11.126465283911845, 5.378827369946595, 6.419201626844222]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.3227321877289808, 2.0401325199332794, 0.27379866280529863, 1.7640155455713034, 0.03472133679830014]","[31.433985, 23.566795, 36.482502, 21.022688, 31.849663]","[0.23774913194444444, 0.07770355902777777, 0.2375920138888889, 0.09902430555555555, 0.21083376736111112]"
DELT2,"[3.7489955459691195, 3.005954090529425, 1.6842905805334123, 3.7157733918887192, 1.0081857831680043]","[8.904378801545521, 8.912357611909425, 9.153161073489658, 10.06900369837952, 10.831923578863483]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.664904764169493, 1.8922056985795934, 2.1466715050349876, 1.8099112135536313, 1.8047970501969737]","[22.449335, 22.911064, 24.143978, 25.46416, 28.13469]","[0.22875564236111112, 0.12220529513888889, 0.0672421875, 0.20068098958333333, 0.08639713541666667]"
DELT3,"[1.7697979751466573, 3.496057522480326, 8.634468435015112, 4.968518321952149, 2.178729821572391]","[4.020492631484957, 4.747035603058881, 6.265507016538709, 4.321356675397623, 4.863596783766216]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.6038429188783363, 2.5666333096848586, 3.1248956615166614, 1.7514474331688996, 0.9655362442642426]","[22.243492, 28.564764, 38.71975, 25.987131, 27.155098]","[0.23419270833333333, 0.05127170138888889, 0.12243967013888889, 0.1435546875, 0.17028645833333333]"
INFSP,"[7.851188173873501, 14.73673916804507, 21.598941899359037, 1.0191331598039817, 0.939893750405421]","[5.774786578352872, 2.482524675720837, 4.209901683307126, 2.5513681415126235, 4.4545037712609545]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.03595765069629353, 1.1284883393710736, 0.04077760219290605, 1.4015179561782423, 0.1032809048071952]","[44.01285, 22.3608, 35.168407, 20.884995, 34.13851]","[0.2179809027777778, 0.11855512152777778, 0.20007986111111112, 0.02604296875, 0.24727300347222222]"
LAT1,"[3.1497749699224524, 2.2337802896551295, 4.268776217552471, 1.763909977037839, 0.5427362161312246]","[16.258630077342158, 18.430848336844143, 17.987996109526506, 14.593951197615514, 18.901527862786278]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.3520073740633136, 2.173314767304813, 2.8095513602205484, 1.8109112042443374, 3.3677231036616306]","[19.49836, 20.874971, 20.549116, 16.62074, 23.06917]","[0.03718315972222222, 0.08619835069444444, 0.08213368055555556, 0.07967274305555555, 0.02911154513888889]"
LAT2,"[1.5646982926734303, 1.4670852049522463, 1.9967428407111996, 5.125385181205274, 1.6374954209139254]","[11.51046952258596, 12.427914882904368, 10.30686430513606, 21.59762048904172, 17.649865839093366]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.224648051104883, 2.5137323240717846, 2.124944413516898, 3.373339845808517, 1.6435927096300293]","[20.262312, 22.036217, 18.150234, 36.754185, 29.463554]","[0.06800520833333333, 0.060184895833333335, 0.07191796875, 0.13994704861111112, 0.15595442708333335]"
LAT3,"[5.2853578282190075, 0.5272844532942056, 1.7045521282469451, 7.712867523977229, 6.812769845530061]","[16.607543709052713, 11.581408755589797, 19.05057571765857, 21.473379349005228, 19.345629468555423]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.771757130136397, 1.6612980793602243, 2.8988655545270676, 3.952670527105505, 2.9489790550367614]","[28.558588, 20.271551, 33.345024, 37.120125, 32.856934]","[0.09247135416666667, 0.06667925347222223, 0.06674479166666666, 0.08478342013888888, 0.12157986111111112]"
PECM1,"[21.168981029426607, 2.587353234577403, 16.695652321397276, 10.240527996548273, 3.0373811203439924]","[11.696737557236816, 20.41979853159887, 16.48619799953072, 15.722513507057233, 8.526174698935119]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.5813543480560517, 1.23727007628786, 3.249960110582238, 3.755268997454147, 1.5936350053909691]","[32.718243, 47.977684, 43.481895, 41.152874, 21.444183]","[0.24328255208333333, 0.17261501736111112, 0.144421875, 0.06360980902777778, 0.07305381944444445]"
PECM2,"[6.884399147657481, 9.856770716942178, 9.617977728090521, 3.1846090815668333, 3.718646131114955]","[15.201301074873657, 16.848004447914505, 23.770672747315622, 14.184990449462669, 18.259246461608218]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.8799699542736439, 2.2701440254342575, 4.188567206757949, 1.3392510187936932, 2.0937453289297716]","[28.921715, 32.02734, 46.58639, 26.907593, 35.045795]","[0.21444921875, 0.24612282986111111, 0.12199088541666667, 0.19496831597222222, 0.15799652777777778]"
