muscle,coefficients
0,[24 13 14 22  3]
1,[ 1  5 17 16 21]
2,[ 0 28 21 18  4]
3,[ 7  2 17 16 23]
4,[ 8  2 18 15 13]
5,[23 19  5 26  8]
6,[10 28 29  9 25]
7,[12 24  6  4 21]
8,[ 3 21  8 26 20]
9,[ 0 19 11 14 10]
10,[22 10 18  7 16]
11,[ 0 22  9 27 12]
12,[ 6 13  4 21 17]
13,[10  5 28 29  9]
14,[15 19 17 22 28]
15,[24  3  7  8  5]
16,[19  8 22 24 15]
17,[14 20 23 12 19]
18,[ 9  3 23 10 27]
19,[22 27 19  8  7]
20,[ 8  5 15  6 12]
21,[ 8 14 18 16 24]
22,[16 27 14  1  9]
23,[26 13  6  1 17]
24,[10  6 15 29 12]
