muscle,coefficients
0,[11 10 22  0 27  6]
1,[23 17 16 26  3 15]
2,[29  8 26  2 10 20]
3,[14  3 20 13  8 25]
4,[13 21  7 20 27 25]
5,[ 8  5 13 12  3 11]
6,[ 8  5  4 16 27 26]
7,[ 7 24 12 10 23  9]
8,[15 20 10  3  5  8]
9,[15 11 27 18  6 29]
10,[ 8 18 24 15 11 28]
11,[26 20 11 12  0 14]
12,[21  0 10 12 16 15]
13,[22 20 14 10 15  4]
14,[14 12  7 28  1  5]
15,[ 8 27 10  3 18  6]
16,[14  4  6 23 20 10]
17,[ 9 19  7 20 11  8]
18,[16 29 22  4 10 26]
19,[ 0  2  6  8  5 11]
20,[ 2 20 22 17  0 12]
21,[22 23 27 11  2 20]
22,[16 23  1  4 28 18]
23,[ 3 14 25  0 23 20]
24,[26 24 20 18 21  9]
