Muscle,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
0,"[145.20466571759044, 84.44282906313012, 42.756043802157286, 54.77621077351924, 53.59399283166471, 57.29715758556087, 21.20266398774561, 27.41669032670604, 27.952695886675535, 24.865370853498113]","[7.735692579077998, 4.112364690810445, 9.326693812191714, 12.574100937988698, 7.8230658494549665, 20.25725093561449, 19.31705067920761, 11.292713892268308, 26.495780993504404, 13.843476360720542]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.221072452074793, 0.6821000103731363, 1.1392010094285698, 0.6693356180716101, 0.37823146014687214, 0.9802363289878052, 0.3750321123602589, 0.4627325987351876, 0.5134497156063613, 0.692971778387788]","[17.499670032458113, 9.048974002370002, 6.845382987831992, 8.525926787898307, 5.8516609824346535, 9.548382125147388, 2.8536511677858742, 3.588811150380616, 14.020974850658082, 4.7379977672786815]","[177.24023, 97.710884, 169.93303, 104.355934, 61.01268, 154.96494, 111.64626, 74.92299, 163.44707, 109.137375]","[0.23198046875, 0.2687478298611111, 0.15162109375, 0.16339192708333333, 0.27415234375, 0.16047699652777778, 0.2842191840277778, 0.25099131944444447, 0.03668142361111111, 0.14706944444444445]"
1,"[56.06082259288808, 50.08512131042677, 8.39482887008769, 111.34026694700577, 55.88941876420225, 19.37222358185172, 95.62078148868028, 161.22167149584732, 0.7255180697149513, 46.7488925217026]","[25.34750180294183, 44.69952463393134, 5.440861483732842, 28.10433665436645, 10.153289470932629, 0.4187849397065406, 35.88045473578475, 33.3705833568079, 17.583157643538144, 7.023424943992154]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.27877213118121347, 0.3489372684763765, 0.9215997276239571, 1.4512048456266253, 0.2695651993599135, 1.6881043095238528, 1.6467966125696538, 1.6945105089604588, 1.42188821197702, 1.371371667765274]","[7.309638044093313, 15.49253378679219, 3.9843839434966037, 0.46903013255587034, 1.2047662744639416, 0.5321947304895529, 15.215884701684853, 7.148757924561894, 2.678969481518234, 6.994769616375056]","[102.36255, 162.66504, 72.50849, 140.91425, 55.90092, 108.693016, 175.98785, 178.33751, 129.16711, 100.17901]","[0.1249921875, 0.06598263888888889, 0.04243793402777778, 0.20858072916666667, 0.19191015625, 0.2193988715277778, 0.10245833333333333, 0.17437022569444444, 0.1509513888888889, 0.09000954861111111]"
2,"[8.915351105771357, 23.717357900018555, 2.0386545696053133, 27.392351306549955, 12.890762463491344, 9.442162729191239, 7.992404153569531, 13.7517621362392, 8.591518349281252, 3.5388512612265544]","[48.59256716265993, 44.97704229087501, 16.717701743029895, 42.149384592806584, 12.33713451400937, 22.391023382191086, 7.490041254858529, 38.08427511988197, 4.127812272796817, 36.700080745747464]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6096240377852897, 0.48824813780348286, 2.148816910490887, 3.9025692186119656, 1.5580626372517097, 4.56223299373138, 4.843912810363378, 1.3440703594225116, 4.231833261531481, 1.3178795725868575]","[8.819154794611912, 10.089343762721159, 2.4199933828496665, 12.00586619163022, 5.492977314698438, 7.209498926922638, 5.030918320032924, 6.136726863473479, 8.77133244131379, 3.4064354443976743]","[126.600746, 113.74187, 79.23388, 159.67064, 55.886887, 147.29424, 129.91957, 103.21724, 113.60042, 101.25816]","[0.09851692708333333, 0.23232161458333334, 0.14599175347222224, 0.20644401041666666, 0.1894978298611111, 0.1153923611111111, 0.15944921875, 0.24281553819444446, 0.06271657986111111, 0.1808003472222222]"
3,"[26.072609436337807, 45.554252892798544, 2.0394757323775607, 27.5052012283344, 13.860071917609826, 40.368597536564984, 3.808645249653452, 47.199089770064155, 12.09183559998678, 34.03407590426618]","[18.114508421065924, 13.228839458971425, 18.555536167578325, 18.918604638843597, 9.630615537104577, 17.66939468596804, 23.532892529585467, 7.561401478895839, 6.285770015414901, 20.28800110826582]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.1241812286723842, 1.5162581538953823, 0.163161031590444, 0.5449385297669735, 0.542544353023338, 0.8478635063122866, 0.7652708065306282, 2.035406169554758, 1.2656432286752546, 1.0443957275031899]","[8.85763375560312, 11.839769294053564, 9.048439398723929, 8.586453023663296, 7.947397098176596, 11.048792589666382, 10.895813564788298, 14.689940564842418, 3.7960999307130807, 11.569818047111125]","[156.66771, 155.78033, 113.43392, 138.11493, 84.34591, 150.12976, 165.79596, 150.01677, 90.7508, 170.14795]","[0.1389079861111111, 0.23794791666666668, 0.03884331597222222, 0.1678146701388889, 0.039059027777777776, 0.21432421875, 0.04602039930555556, 0.11550173611111111, 0.1732087673611111, 0.12821223958333333]"
4,"[30.618187431957143, 76.41770215244252, 122.98942451551333, 62.09630573765541, 79.85116077486968, 51.41517494489071, 9.333085318018881, 21.51716190273806, 4.0961820121655705, 36.85765048272788]","[2.490750131760784, 4.809249951725832, 1.984514597354469, 1.6920343139126537, 2.7789737136705597, 1.4292932758295454, 9.817507594363121, 7.445589824057613, 3.9405004760905253, 0.4935096469970066]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.33064757423796554, 1.2973299137451413, 1.1104764075504026, 0.4903156487271625, 1.174988767914142, 0.4073274270641649, 0.2769090217549639, 0.6779817984526364, 0.2934547816395545, 0.5327437622081499]","[0.9851296560607503, 1.230980282191016, 0.32727368135700363, 0.0030913809727657338, 0.09242743764235772, 0.010232760551355025, 6.313132973379133, 1.398897326404855, 3.555092093278922, 2.3019264820067775e-05]","[51.511467, 153.33417, 130.478, 65.21047, 129.54607, 54.30253, 102.76594, 110.735725, 56.482582, 53.486675]","[0.15407074652777777, 0.1791618923611111, 0.20398567708333334, 0.2083355034722222, 0.2054409722222222, 0.20802300347222222, 0.022734375, 0.13414930555555554, 0.014141059027777778, 0.20764756944444446]"
5,"[30.76173172585368, 4.202172596393723, 17.092690869090113, 27.965765226920873, 3.273563984463081, 25.842991511291892, 18.497361004909955, 6.103347102645117, 16.991323619826897, 7.020268873363271]","[39.22445690965846, 53.48461396088663, 3.7818803756896813, 55.187569092066354, 27.107823075631856, 33.86208158965608, 73.14517723271521, 0.9859773861067893, 41.350264580326964, 12.698847255224532]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.7805482983310466, 4.397299815998901, 2.813924672678489, 4.179431051311587, 3.342946038541423, 3.178296087208607, 3.5955090671042864, 4.713737384637085, 2.2378853437444013, 2.454949652251025]","[11.64304500665507, 3.239236727968957, 6.162311067472478, 11.588299182236256, 1.465490323401975, 9.860276589515841, 10.887894860659591, 6.160861083876926, 7.738151775376318, 3.2106400699193456]","[153.75189, 151.7295, 78.54158, 148.46907, 105.92837, 107.60156, 147.82747, 134.21985, 88.33225, 74.13012]","[0.182828125, 0.18511762152777778, 0.25235416666666666, 0.1442131076388889, 0.29255078125, 0.16462152777777778, 0.10216579861111111, 0.05162413194444444, 0.12101822916666667, 0.13567447916666667]"
6,"[13.717530728822375, 8.187469251536669, 4.913080673252864, 11.779845921820296, 7.601485043693028, 8.916941870279317, 37.23432426864105, 14.423315703276984, 3.822679302077134, 2.725594649994079]","[25.229670756524794, 51.62704534856159, 26.56129247560561, 41.44979440520803, 30.545221483270915, 29.840048693357232, 17.031947344751487, 22.525856347552157, 78.94170448142191, 47.173914878141275]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3.055311212582546, 3.5740495383246227, 4.285209232500387, 4.340300389599733, 1.3467717989892058, 3.9166340464715823, 4.993798711399576, 2.5899199037581004, 3.850217022392483, 4.429842518146623]","[7.077173497878258, 4.226071974244785, 2.6244694827629047, 10.675580985170448, 3.948573750541195, 11.813108059162436, 16.628421186345022, 7.605567938100679, 4.437341850153465, 11.501261279071215]","[112.21455, 146.55278, 148.67586, 166.34186, 65.03901, 147.65546, 167.39581, 96.60918, 178.06203, 176.92027]","[0.1552925347222222, 0.2838276909722222, 0.28359982638888886, 0.07876779513888889, 0.22293836805555556, 0.03991579861111111, 0.20224348958333332, 0.12441840277777778, 0.21279730902777777, 0.05047786458333333]"
7,"[11.050484831280372, 1.8805774823653252, 4.953400751853138, 39.024990785237186, 3.746664727568593, 1.559738748478395, 10.029658324740755, 7.482671111105319, 14.35023601783859, 4.454771650627876]","[43.4974651121045, 4.107055447536588, 39.35353385700059, 41.463687871398456, 14.40290446577989, 6.581889833082414, 16.312811740737835, 38.45157585024806, 56.752905275019614, 36.82063158132638]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.63568600903249, 3.5679265917185834, 2.384351361879231, 5.054671846608747, 2.675104898134193, 4.883276620081363, 1.5343225268115317, 1.4586574832385066, 3.4090291770044114, 3.350045952231355]","[6.4529907610148225, 11.591015275054955, 3.0150127464644583, 12.234367193110039, 8.944478945483493, 15.51397011156973, 3.944859295134782, 4.5910943643148165, 14.162577254554968, 2.8662781952203287]","[88.3647, 117.17143, 103.47243, 178.69006, 96.10134, 161.07849, 58.375507, 77.73229, 155.93109, 128.29584]","[0.09936588541666666, 0.011453993055555556, 0.17712977430555554, 0.16597786458333333, 0.01616059027777778, 0.011840711805555555, 0.10227256944444445, 0.119859375, 0.044430121527777776, 0.1826193576388889]"
8,"[38.59102814814548, 20.255967119555507, 3.749270299269682, 23.8879365202385, 132.26940778375553, 1.098952857644253, 69.46577746729753, 16.100975637841202, 26.54629630364161, 59.625936515795864]","[25.45022690018696, 19.80310014318759, 44.640786511304505, 13.875887055399238, 34.56587432194668, 7.483253494109861, 23.20330449194644, 40.66535862786632, 16.299190547614096, 0.04252895081508257]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.6927773448869665, 2.0489895696594536, 0.6058450235345774, 1.3778558263075604, 1.795759109448067, 1.4905346411718212, 2.8304776397660962, 2.07196426779854, 2.6205208037251735, 5.219710931325382]","[9.339486496808288, 5.87975135013469, 2.4802891526081274, 3.5377177071934724, 14.440359085474025, 5.009065257056121, 12.093620661488128, 7.004284716184494, 4.579253160187499, 12.564928612395711]","[103.679054, 90.60491, 115.08838, 63.533478, 147.2799, 50.481674, 126.80471, 138.72894, 92.57781, 174.06244]","[0.07405555555555556, 0.07860633680555555, 0.1774431423611111, 0.2003676215277778, 0.24563758680555556, 0.023870659722222222, 0.13037847222222224, 0.08747916666666666, 0.1748103298611111, 0.09479644097222223]"
9,"[62.469237037844, 7.349748748244977, 11.975561188592842, 5.7978512030874185, 45.772387724236154, 43.27805645571377, 4.377070773878273, 44.544642695566324, 16.348809647249535, 27.25599078442773]","[47.811844856966886, 25.26473775269598, 14.183256831979072, 37.428293484392846, 68.07429348222567, 38.164913059472426, 37.193210306193265, 18.915842746387927, 36.94186145317844, 52.10966741615877]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.409805716629153, 1.1186862770839312, 2.279821640622388, 5.274619902318978, 3.337914388604503, 2.4081318316926046, 4.79149296991322, 2.9924441011007206, 0.6964852541485893, 4.821584711650452]","[13.060066204752989, 2.626357337601854, 5.876708666313792, 13.031951872626957, 14.567880174821902, 8.489936159086756, 8.984560431887108, 8.38975931411657, 7.203992371608878, 6.307743919926572]","[150.72302, 56.744656, 77.04433, 178.25728, 160.47646, 94.26704, 161.52669, 102.06409, 75.32227, 163.74165]","[0.23836762152777777, 0.20100347222222223, 0.07483506944444444, 0.07571875, 0.13380121527777777, 0.2808802083333333, 0.1017204861111111, 0.27714930555555556, 0.111578125, 0.26806163194444443]"
