Muscle,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
0,"[35.33325206269764, 47.819293188357435, 11.211361042881443, 46.56696887754047, 48.855289805751454, 23.941536953335575, 10.439020568088974, 21.183134046057923, 26.840346182323184, 8.11158690980779]","[45.93734625791472, 50.977790085118805, 40.23790499450216, 6.872828532746121, 27.605121950913073, 15.276926645587343, 18.883415497897587, 43.92203320181192, 5.133799686135259, 2.209588184049423]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.3369418561763684, 0.7356299106962076, 0.479429441356066, 0.45953905192270383, 0.9143872831506723, 0.2404217602251828, 0.02305205435922364, 0.6458854937189706, 0.3749657190544058, 0.8890933849978282]","[10.28491545177187, 16.963622488096238, 12.682086831121747, 6.061615191266715, 15.340154524144952, 4.793255168368251, 5.850587112967906, 9.935285718923248, 4.987094678090054, 12.334670227735101]","[133.33876, 174.14772, 130.46695, 70.369576, 160.12419, 52.62367, 62.35341, 148.836, 58.717216, 141.03104]","[0.23624739583333335, 0.15200086805555554, 0.1405347222222222, 0.21913585069444444, 0.07973307291666666, 0.2115451388888889, 0.14837456597222223, 0.21469097222222222, 0.10807118055555555, 0.0009674479166666667]"
1,"[60.82677920678536, 90.58782972990673, 47.50924936424534, 32.65699962197225, 56.78904421745186, 16.535292643968575, 24.25707269738826, 63.687655977532174, 5.54169097797886, 24.875545823933393]","[25.50602687954723, 17.210804767776875, 31.620679799609206, 12.563657145581026, 70.91083093571213, 7.0838102275388835, 9.53826828896898, 3.5484941704381043, 7.618460316497169, 19.85522210887626]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.6866755270412783, 2.181223010474696, 1.0239524110193052, 0.6125017565127564, 0.5594840710118714, 1.485690729947926, 0.8077844478741856, 2.5529492192042795, 0.9816142299605675, 0.44456489821296064]","[0.6086917364710409, 3.259031393627321, 10.153154252678107, 3.8259754890118254, 2.652597139069073, 6.565019455812184, 5.482475682944459, 13.66339894164317, 5.627697002673493, 3.5617120549134995]","[80.93406, 158.68802, 114.36958, 57.72297, 158.1271, 110.99461, 67.13608, 173.94043, 79.819336, 57.570145]","[0.21897309027777778, 0.18267751736111112, 0.11098177083333334, 0.14139887152777778, 0.2708302951388889, 0.04252126736111111, 0.07515407986111111, 0.04485199652777778, 0.0473515625, 0.1670078125]"
2,"[3.353129060139203, 22.756300408706643, 0.5569200461635688, 15.814085716889807, 8.236615488018302, 9.275242409724385, 10.097906686303801, 9.212258108865775, 16.2462122702304, 6.976193980843817]","[28.677518227909616, 55.57203903127863, 17.35305868806163, 9.21606626685611, 76.55055553276682, 12.00181005343558, 1.162866563123984, 18.269870987313638, 50.571217039962704, 39.02885691225138]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[2.002072725500099, 2.520127854303386, 4.413959701784604, 3.8487253854547125, 2.727419302985016, 6.028160821364699, 6.647710836710328, 4.4424731546686065, 2.4568599139520444, 3.6161252688320715]","[7.031210969949853, 11.802029557157102, 3.6187607021534696, 9.407268510822473, 12.00984442682293, 7.583273442794085, 4.883185923934191, 10.674319939375573, 12.534037518070022, 10.74660598975782]","[90.93011, 134.80293, 132.64163, 106.73837, 175.95021, 164.88286, 163.43639, 137.23041, 130.34077, 145.26524]","[0.15159722222222222, 0.3269097222222222, 0.17623046875, 0.10127430555555555, 0.2570529513888889, 0.13158420138888888, 0.24520442708333334, 0.07488758680555556, 0.22893315972222222, 0.14301388888888888]"
3,"[7.881613442426097, 2.493054249495941, 10.523152856530853, 13.634281106224151, 15.24243514291529, 0.025778462788732526, 14.642487675477753, 12.660398231245068, 8.187765144487429, 0.3386637259158931]","[11.17895799537464, 19.755998844226177, 16.253543261938297, 42.118894305815374, 15.880693350434079, 12.467452940664298, 21.66995114219079, 35.390750650450265, 0.015342518176151287, 4.110762845373364]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.9397785033969406, 0.5361790517729954, 0.544887457253636, 0.48786269207795385, 0.9654022281763979, 0.4207308141705628, 1.4113043713099458, 0.20058086335386704, 1.2160082251682063, 0.701601668810806]","[6.5390030666083865, 7.5818753429528645, 6.708907825023891, 9.161932674331934, 5.071121941687891, 4.464386367953443, 9.26937086052277, 11.681915432665123, 7.729420600093422, 4.773482588639624]","[78.19495, 83.00566, 75.571495, 146.64706, 91.09274, 54.833015, 128.41248, 119.29278, 81.23223, 53.26557]","[0.082609375, 0.11137065972222222, 0.1498849826388889, 0.25294053819444445, 0.26998958333333334, 0.11167144097222222, 0.14192447916666667, 0.1653498263888889, 0.023233072916666667, 0.02771875]"
4,"[14.940117979555588, 35.59754229809198, 32.79529986410634, 69.10634904923586, 20.736041357476985, 12.211099170463452, 9.069587510660206, 12.756201110380992, 16.229432977445036, 44.22249130873817]","[19.472590971294736, 34.840203145516, 5.067635066295805, 15.905601659070804, 19.23253501660772, 4.920376381257196, 4.32314646600928, 11.057655372720198, 14.388806279042928, 6.050806776607811]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.7606168814080743, 0.37200512228962346, 0.6830715933122766, 0.0016306334011808588, 0.7162033854740848, 0.38149179976399594, 1.010155125766774, 0.9945068432713793, 0.3083450720009626, 0.8813914769728122]","[1.4266523347076596, 1.43922672403761, 4.900704071380628, 3.167097722839144, 0.5444263821830662, 2.418631299475085, 9.064823834114177, 11.830910554992482, 3.2363713120567503, 6.144298128902353]","[126.418076, 151.05087, 81.604576, 72.37782, 122.22962, 50.40294, 102.31402, 126.599594, 77.17593, 104.040535]","[0.24140581597222222, 0.25454644097222223, 0.08200868055555556, 0.15649088541666667, 0.26263020833333334, 0.09079296875, 0.010284722222222223, 0.013019965277777778, 0.14386631944444445, 0.08423784722222222]"
5,"[1.9966634226044917, 9.57713347183816, 28.895770987900534, 34.74920852872841, 8.631628568325212, 0.6685142993945519, 32.967456327834604, 7.771696674581555, 11.416088627278022, 1.4162365785516755]","[46.2882182828055, 44.81934456837327, 65.48607501625112, 10.131423041562513, 21.528318205485082, 14.951101800350063, 61.71285924273003, 16.770074996777268, 20.524901232888165, 12.804559991465975]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[2.27230000062999, 3.188729050425618, 3.82144065114343, 5.820934662853221, 3.446051684036995, 2.564282998535923, 4.538463525607979, 4.0978151838278745, 3.978990749433401, 4.5494531758537775]","[9.962135958221467, 7.259834719224764, 13.688089678330126, 13.652807620412808, 5.420784760684628, 2.7211959417910396, 15.36757209315632, 7.117121898323078, 11.43244632679146, 9.335646247647135]","[104.35451, 122.64304, 155.7519, 166.3349, 110.54687, 81.93802, 172.42455, 126.57596, 129.27856, 140.00412]","[0.1001875, 0.23271788194444445, 0.29582421875, 0.12478385416666667, 0.17697612847222222, 0.13303342013888889, 0.26902864583333336, 0.07245789930555556, 0.03555902777777778, 0.02244921875]"
6,"[16.827627266943907, 2.827358541405232, 4.392900011076321, 4.196743503283614, 7.139159530862663, 20.71615374309782, 13.049952635146347, 3.536120483669208, 2.033502144606601, 11.22069374593098]","[73.37985165371461, 15.712318055572187, 43.04018060283223, 2.2845375464315794, 19.276313673950636, 32.710595385329725, 8.75168457790095, 8.238023634029677, 60.060661059467755, 48.03180950202341]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[2.9703563378880276, 1.4063708906524477, 3.9160974808491282, 2.747309672689883, 3.77785324732827, 4.671309760814722, 2.84655408238379, 2.1264459028869034, 2.7049665506468177, 2.8808106833885]","[15.94819036961226, 2.6345453352063712, 10.583898161937043, 5.1995343876139035, 10.25619921952443, 13.341086468039547, 7.422332617138952, 2.8040793432506437, 7.462989792159236, 12.913154998494086]","[160.91454, 56.71071, 161.7057, 90.66917, 137.60762, 173.95375, 96.33812, 72.665955, 137.78244, 134.86356]","[0.21772482638888888, 0.2623459201388889, 0.12874392361111112, 0.05128298611111111, 0.056912760416666666, 0.16469835069444444, 0.10765755208333333, 0.16629296875, 0.24882074652777778, 0.1533767361111111]"
7,"[14.59019630578048, 3.1041005498399272, 0.3256635363516054, 1.0408493826302703, 11.863045940070165, 1.5929196730882893, 21.631069942276298, 2.4899823522428406, 4.696795177955856, 20.078232212828397]","[19.29549623834754, 14.785870975450937, 28.2851923606178, 8.973618765772752, 3.6765631896072204, 50.21556187281783, 12.503348141568845, 53.19587900798821, 24.233426004721533, 1.3919277254828764]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[1.9412701797231104, 5.101396718650912, 1.1505330585306304, 3.26711234007536, 2.1284622789621785, 2.81280317949364, 2.2160809183450736, 2.0977861642646083, 1.9908677775491883, 2.6835191440318464]","[6.3216109538985314, 5.971380438306519, 5.732201524225234, 5.82394793710925, 5.969497535557306, 6.293365573546901, 7.277334751275124, 9.449728086158164, 6.898580722450278, 5.660321867570591]","[74.27484, 164.92175, 64.328636, 107.49585, 66.82207, 131.59792, 75.13127, 117.20765, 83.889885, 77.99095]","[0.17311024305555556, 0.08386414930555555, 0.12804644097222223, 0.04323958333333333, 0.03253732638888889, 0.22812109375, 0.16270225694444446, 0.16198958333333333, 0.09533159722222222, 0.2916475694444444]"
8,"[21.867574260928507, 63.234233184592654, 43.93841557399778, 40.24835969092388, 10.370249243838117, 42.774310023706406, 28.139349460172426, 59.154344383734276, 10.591308709922664, 42.90777037935616]","[42.00413113797663, 23.306713462979758, 31.18540024583293, 6.640990774813524, 0.9253932922037933, 29.151350789849122, 12.755055803574871, 33.08777594281144, 33.58010909559241, 6.616971380496286]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[4.895099070566099, 4.013194233137231, 2.1423089752665128, 5.1193906365063615, 3.825562375379212, 2.8882681613604806, 2.485997507211777, 4.76938905477501, 0.7784482292528132, 1.8894435274925963]","[13.966292685704556, 12.202612695475747, 9.055363478166637, 16.917606293479725, 12.777856457304757, 11.22528900306786, 5.284537122804452, 16.491545873715967, 6.617796569393457, 6.448367905671704]","[173.4357, 142.4006, 105.54612, 174.13022, 129.15201, 117.432014, 84.79594, 171.83643, 77.119804, 67.26267]","[0.0935920138888889, 0.1375876736111111, 0.18036024305555556, 0.020105034722222224, 0.016638020833333333, 0.11661111111111111, 0.1673888888888889, 0.08782942708333333, 0.16567491319444444, 0.17132248263888888]"
9,"[29.328166330764212, 5.589385018553656, 41.52389101571882, 8.76547740401854, 3.854034100903206, 7.431293133102585, 41.48247974602421, 21.53730379573139, 28.309728098762236, 19.03711173965091]","[25.137411914849153, 28.45535035430518, 9.393059202582599, 13.551043126400934, 8.604175522521999, 4.642098831065383, 19.876237245575084, 24.888467459123717, 61.91508790473161, 17.073173302678793]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[3.0538245976980773, 1.7795392302485364, 3.5767602913022856, 4.457610329709896, 4.844023510906704, 5.000182089045138, 3.5662195461141284, 1.6430297925544428, 4.145178505760926, 2.586856061345437]","[7.739743790004823, 5.499895250321214, 7.829938096568898, 15.072623822213288, 15.376753485093243, 17.150613296310993, 9.836354656161921, 6.142043745888545, 15.87107374069666, 7.634776474989032]","[105.88786, 74.52444, 119.25317, 153.37534, 166.15788, 173.19975, 121.97406, 63.471283, 167.98564, 89.58968]","[0.24099479166666668, 0.2185295138888889, 0.28242578125, 0.03811848958333333, 0.03483420138888889, 0.026764756944444443, 0.20597612847222221, 0.26620659722222223, 0.186265625, 0.12194704861111111]"
