Muscle,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
0,"[14.321721106241291, 5.706019587647946, 1.8018608341240867, 6.060807001140152, 4.799175186338784, 22.640572577637187, 19.071011078537424, 9.238119532083484, 11.776815013804661, 11.824049043248591]","[4.952116222052957, 4.561295774219953, 3.9007546236531723, 6.479321077947825, 4.995424909302361, 4.753685845876191, 4.45876490924552, 5.685828526347396, 3.7597133261277227, 3.6589232942401884]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.3959790880594083, 3.305553453961875, 0.8580317843947116, 4.6508103285688005, 1.363574445787891, 2.6996076393194395, 2.974846273044843, 1.691250328868488, 1.9761676073293724, 1.7800005440108015]","[34.48441, 32.994804, 26.681362, 47.11237, 34.082767, 31.289803, 30.096218, 38.400673, 25.451654, 24.575039]","[0.058381510416666664, 0.021371961805555555, 0.1016328125, 0.022148003472222223, 0.10312065972222222, 0.2589253472222222, 0.16904904513888888, 0.16627821180555555, 0.15632682291666666, 0.19317230902777777]"
1,"[9.175092644095193, 7.279464611249401, 17.792806247972972, 21.177980127928073, 16.705648439625513, 13.879339422806927, 0.5010877734875869, 9.24232390444752, 11.162091585652906, 26.621995878524295]","[13.785656071907544, 9.234606480489255, 12.181936619572092, 4.83894686034238, 14.16640192082031, 12.108706702987845, 13.309723242749609, 12.310694971514083, 9.545169664600909, 7.795689911055616]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.747912441782666, 0.14786376567020132, 2.8371178159592905, 0.4858582862165518, 0.0016274609964446185, 0.6837385206870144, 0.7081659111412502, 3.91921960746004, 3.2813772706656037, 0.9488532099391251]","[49.46735, 30.215658, 44.28122, 24.368183, 47.00393, 40.78255, 43.06112, 43.95726, 34.93308, 35.482094]","[0.05880164930555556, 0.24349869791666667, 0.12050651041666667, 0.19313671875, 0.23743229166666666, 0.20808984375, 0.23944140625, 0.06425130208333334, 0.06848350694444444, 0.18665494791666667]"
2,"[0.43657896199147217, 1.8229765516824976, 2.014445343416776, 4.6929492950773195, 5.057119030868842, 1.3335214124389303, 6.08364282896984, 1.848005198004481, 2.821843668749869, 1.5354347066695109]","[15.157240686320224, 14.594590878873035, 14.39595622163848, 14.991820925667424, 17.06037988579103, 15.488165496900846, 20.565208745870105, 13.894392908678293, 11.688114676451345, 12.589857714045639]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.380850599407277, 1.7566926813826786, 1.078567968390784, 3.8468592411800904, 2.3550225969782677, 1.887143303985624, 3.483691134764209, 2.17777045512224, 2.2463618326601065, 2.3485017705827786]","[40.519413, 37.092155, 35.867657, 39.308582, 42.791653, 39.567978, 52.231075, 35.783913, 30.135464, 32.841476]","[0.049375, 0.14429340277777777, 0.26878385416666667, 0.08034071180555556, 0.2410759548611111, 0.12349262152777778, 0.16425130208333333, 0.10419921875, 0.10677126736111112, 0.0805334201388889]"
3,"[10.190512658822243, 0.7564932746103601, 15.680082304137635, 0.4848990779424227, 4.214123648661753, 2.409188621332838, 8.043031764242187, 1.7667170298185209, 0.262704346723897, 2.556975466806975]","[7.739666171228526, 5.112515039563839, 7.888462830734053, 4.022317997798872, 4.1573031004241, 3.4728942625059744, 4.453287187226463, 3.826323940169532, 3.97442323709182, 6.158875454159102]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.6226274999515105, 1.0087314840161905, 3.3327389650822834, 1.3105006257964114, 1.0806104671225842, 1.6586035760792213, 2.3482814343555365, 1.7542143409354585, 1.2912226509615878, 1.6322383364393085]","[47.44084, 28.050138, 49.67952, 22.550447, 24.216013, 20.631332, 28.254864, 22.375027, 22.209326, 34.732292]","[0.13088628472222222, 0.11963498263888889, 0.36285850694444444, 0.07007204861111112, 0.28180512152777776, 0.06109809027777778, 0.18802083333333333, 0.054489149305555554, 0.06789453125, 0.11359809027777777]"
4,"[13.72062910257155, 21.070169557826055, 1.077301237373982, 4.030547208854879, 4.474847257463098, 11.159374556356463, 3.9069821040874366, 3.389265378961463, 1.202239736872908, 2.6222108648028977]","[5.297827044765852, 2.9112767374785964, 3.4565570883860066, 3.9795534627804607, 3.351490649384876, 2.8408845363805346, 5.070489687688285, 2.7475753117488186, 5.099688156431722, 2.6396128382574675]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16609995764718932, 0.0018399570543552457, 0.9498716714053281, 1.5478625101429735, 0.4269906472585945, 1.7808957245191652, 2.4024427670933277, 1.9278882503008314, 0.14103977578154514, 0.010601520575221901]","[40.88549, 25.882257, 27.35249, 31.883873, 25.951494, 24.600725, 41.08169, 22.859205, 39.103107, 20.133415]","[0.19298133680555554, 0.20258289930555556, 0.06123914930555555, 0.05286545138888889, 0.13966493055555557, 0.08478819444444445, 0.035645399305555554, 0.021599392361111112, 0.23505425347222222, 0.22825520833333332]"
5,"[1.6474191252007575, 0.37425795065064804, 0.4730715928653719, 2.420666351900188, 7.391351002719649, 0.8356518784503777, 0.365052045032364, 11.330958388019557, 0.2986841004436851, 0.004053968667765417]","[10.410081503419605, 12.29950322684784, 15.319167877952742, 20.505854247439835, 16.64402340802939, 18.48245309209003, 15.291155521179064, 22.37361740990241, 10.827152383459094, 13.861894468266842]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.1315810388144116, 2.3140076243186307, 2.4721317235306834, 4.1476168078203, 3.4659711000257554, 0.715298059785396, 2.222011306863062, 4.435815122449019, 0.6417719662731192, 1.291337100192054]","[11.579391, 15.127729, 18.429695, 24.974062, 19.33486, 19.888838, 18.182404, 25.546415, 11.930779, 15.857561]","[0.11437977430555556, 0.025790364583333333, 0.03639019097222222, 0.029606336805555557, 0.09772873263888888, 0.21324001736111112, 0.04383854166666667, 0.17344835069444445, 0.132515625, 0.07596484375]"
6,"[1.5651002740723658, 0.32369546492524925, 6.440065457328885, 3.0853567072462234, 1.5323750930676123, 0.06324648262183885, 4.45737763499762, 2.8934534345336083, 2.7708957491509345, 1.72892254631895]","[13.536315589549002, 10.63783256559445, 18.511356706988096, 16.20373419110699, 12.854005944257494, 9.255154707332341, 24.846045265803117, 20.45960886626246, 19.807188871359173, 11.400746160778159]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.6504330007401753, 2.001383731440287, 3.761985947621607, 1.70024790178465, 0.8514661604954052, 0.5826952003778678, 3.41027259776913, 2.830073341712464, 3.8718195591854023, 1.4758663026902294]","[22.921017, 18.909454, 31.938887, 26.905489, 21.0401, 15.345055, 42.11679, 34.86784, 34.894382, 19.30362]","[0.12237065972222222, 0.053283854166666665, 0.13202777777777777, 0.22524175347222222, 0.2770928819444444, 0.15335633680555555, 0.13484071180555557, 0.11329340277777777, 0.06751519097222222, 0.13086675347222224]"
7,"[1.4544129349055375, 3.236715443462277, 4.974409144476908, 2.319112602296734, 4.2320100936255525, 3.2173737135780343, 10.145613564114651, 5.473876818735329, 0.45825552946387305, 2.289428207331703]","[11.032904452787163, 12.340099225732743, 16.748313031067298, 19.645576090553497, 18.850358465527176, 18.60420284994597, 18.563644295010597, 15.770645486683254, 16.611538547575115, 15.096795342675225]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.2716240711089952, 1.5981274372127279, 2.0778093575377157, 3.9736126380916517, 1.7797235655199115, 1.6004629933340944, 2.954359936431601, 2.901692322261564, 0.9846374539611904, 1.9543327437214322]","[19.811298, 20.896027, 28.1539, 35.25915, 31.400139, 31.024708, 30.96117, 27.298676, 27.737062, 25.895151]","[0.046173177083333336, 0.1250060763888889, 0.15020572916666666, 0.04651215277777778, 0.18114322916666667, 0.17147222222222222, 0.31630078125, 0.08250477430555556, 0.15769921875, 0.09324739583333333]"
8,"[9.011602052200928, 16.518948063437637, 12.750623081306324, 2.8779847591030805, 11.321241121422943, 10.697523341273373, 27.214328458349172, 19.319598322623854, 20.668007786597787, 26.16860459461791]","[11.199675711599266, 14.400810888223464, 12.026472422700614, 15.786957744171895, 18.58900803441148, 18.562017683519276, 9.802352862747007, 10.014949779912698, 16.64332980569372, 13.661379780269185]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.9974777623151008, 2.8732658920360996, 1.911853363799898, 1.0998023716418828, 3.8043275574540525, 2.9674138163965598, 2.871593046344361, 2.416801949505106, 4.512646109597345, 2.6792317044895513]","[28.930376, 38.346756, 31.35815, 37.3857, 47.885853, 46.881184, 29.746082, 28.42457, 45.779495, 38.12475]","[0.1271072048611111, 0.16810677083333334, 0.21484071180555556, 0.16528949652777777, 0.08282552083333333, 0.11163064236111112, 0.2608506944444444, 0.2343671875, 0.10320659722222222, 0.2809288194444444]"
9,"[1.7070778758714944, 6.887838028578688, 4.603156258443191, 3.3115930720830082, 4.267136720034806, 8.177700885035165, 6.917450222791709, 0.7788382431863106, 0.5567625780268664, 4.727968358233552]","[12.949573429900996, 9.982457734168136, 15.498343563661596, 14.54087419030519, 19.0068206394942, 17.55930350330669, 14.832841793999624, 13.119697026816656, 20.18237082171365, 15.279956624516938]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.6662573613175162, 1.2893673757707407, 1.9227371272065579, 2.6466204199345866, 1.794495667526928, 2.45729248940917, 2.6954903515135467, 0.7787733160917808, 1.1962960663684958, 2.5410491100082284]","[26.133537, 18.819893, 29.740637, 28.851507, 36.054153, 33.67206, 29.062574, 24.653973, 37.99134, 29.947094]","[0.08594097222222222, 0.33260850694444444, 0.16347178819444444, 0.10153385416666667, 0.19496831597222222, 0.1854470486111111, 0.12532855902777779, 0.22294053819444445, 0.21477083333333333, 0.11934548611111111]"
