Muscle,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
0,"[4.104789129069784, 3.5010529354218995, 2.71760140858191, 0.20389353179168523, 14.909593244955827, 31.86066370511685, 17.191077393333543, 7.598598313751959, 7.208059987118503, 28.253779829584595]","[6.310634969654489, 7.429769308125772, 10.732463291766727, 7.915081592471162, 8.600954016315388, 9.972686565517122, 13.263151815541567, 7.695027713769502, 10.480530168819959, 12.018616832895933]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.1241397915853524, 2.2002805912581826, 3.4540525093823486, 1.9601991918328565, 2.404234088743986, 3.7159685474568214, 4.285163268648862, 2.2821128480590454, 2.881768576120999, 3.9189739221270106]","[21.276558, 24.936773, 36.626957, 26.678448, 28.309135, 39.818928, 43.33185, 25.270815, 34.634518, 43.206123]","[0.13495616319444445, 0.15508159722222223, 0.13642578125, 0.18833203125, 0.25259461805555555, 0.2906506076388889, 0.18537890625, 0.18444010416666667, 0.18054210069444446, 0.26327039930555557]"
1,"[17.80463194749254, 26.505758658873617, 17.165125607616037, 18.110753657453852, 7.762222257212811, 21.52530373202805, 15.734281617928154, 26.720004279225066, 16.906123414415706, 3.6698812176700466]","[15.361147452571139, 12.936131255007643, 20.819894525118233, 13.315582223852033, 14.500205123396606, 9.20664059783327, 13.238560582219119, 10.66141075497909, 12.275050126539295, 10.33560306285062]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.863834792612035, 2.7130754963940746, 1.6050798973360927, 3.428814987915559, 0.7566257644122508, 2.4324752078190723, 0.4494572915207904, 2.6754367103532513, 0.77886743298426, 0.9029445634346862]","[39.69246, 39.781113, 47.857834, 36.760876, 30.786802, 30.213135, 32.394157, 35.788864, 31.61698, 21.95822]","[0.161875, 0.16217447916666666, 0.23903211805555555, 0.13081076388888888, 0.28680381944444444, 0.1484162326388889, 0.24823177083333334, 0.15476519097222222, 0.22453949652777777, 0.27940928819444444]"
2,"[0.9472692955940829, 0.39049749459894656, 0.32269531266672047, 2.1961531487640187, 6.149810442446354, 1.1920966728020552, 0.4837396759764374, 8.36179684344344, 1.6900972567923294, 0.003496587437844312]","[18.363887388474247, 12.833194823372093, 17.56694150744612, 18.60396677066212, 19.702227414460815, 18.759221246102257, 18.78728722251187, 20.1726040886493, 12.081319041508344, 11.956018912499196]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.951974494519091, 2.4144154538556943, 4.087112238879407, 3.7629315189228096, 4.037263284195072, 1.6233214705258419, 3.11605456830247, 4.200634956083924, 2.3616015210169103, 1.113790818971546]","[34.17272, 24.314503, 34.12954, 35.023743, 36.037888, 33.44826, 35.20352, 36.391655, 22.5859, 21.626003]","[0.22880121527777778, 0.18575130208333332, 0.1345698784722222, 0.2040707465277778, 0.2869331597222222, 0.3566427951388889, 0.2110915798611111, 0.3398628472222222, 0.22153949652777777, 0.30553038194444443]"
3,"[0.13027043058004573, 1.741903979605004, 0.8117530439913772, 2.30332245198875, 2.1687961094979613, 5.689759055258403, 0.28511976437096287, 0.6952014458029332, 8.483492546820159, 2.484149108749147]","[9.471046273108488, 12.1397202748547, 14.498318178308688, 6.825163534273562, 10.013046886238895, 14.230985068794995, 7.619840079199592, 12.811225962050134, 13.012209392647243, 10.841806522064406]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.479236320102582, 3.497990449647468, 2.7763586135938065, 1.498536242441015, 1.6528560342844796, 3.410460463944184, 1.6930196643371191, 3.8584852326989267, 2.8434623081248995, 2.206383849784722]","[28.112625, 36.855793, 42.2111, 20.6746, 29.400112, 43.676594, 22.37355, 38.69738, 40.70619, 32.29349]","[0.16596527777777778, 0.16483506944444445, 0.2298046875, 0.25394401041666664, 0.29233116319444447, 0.24562803819444445, 0.19847743055555556, 0.14627777777777778, 0.31710546875, 0.24947612847222222]"
4,"[3.2771235655345876, 14.033155449271058, 8.775432755972341, 13.752324662698538, 6.048743383098007, 38.18934847666988, 1.4651728923316831, 9.033756713850376, 3.744040941791834, 23.781179374831403]","[13.014368354069344, 9.061596468671308, 10.19315551776651, 8.864468178800408, 13.106079102222738, 11.956596669585332, 8.69115361300824, 11.590296962759899, 12.441798174800928, 13.204234798073431]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.878647122191742, 0.10716396533841288, 0.08799299507957437, 0.2774278604430793, 4.909545936058009, 0.10553497244312249, 3.267172237050268, 4.342460000401369, 4.600249332075846, 0.8361068146044546]","[48.908543, 32.90462, 35.165485, 32.367737, 49.18916, 48.47613, 32.68681, 43.98329, 46.679577, 49.49048]","[0.08291710069444444, 0.25484418402777775, 0.29842144097222223, 0.24053211805555555, 0.08359157986111111, 0.22680078125, 0.08289713541666667, 0.08762977430555556, 0.0844631076388889, 0.21490625]"
5,"[3.6321388749922185, 0.5792818454238002, 3.6193805115646676, 1.721166670187202, 5.225777028999634, 0.07765657285063199, 0.46336887390884485, 0.1863465413974481, 3.260586197330955, 1.3137090591948866]","[15.969084041661255, 19.037348210392846, 15.739793749390405, 14.580279866618067, 17.95951158712404, 11.363850857464843, 19.409411920937497, 19.205403000324317, 23.307642180934007, 16.46013445543338]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.702847152756492, 3.5816543232004694, 3.297096192379793, 2.9490804483338775, 3.0162488597792163, 0.7154565819638551, 2.8204495525633324, 3.2265266120859977, 4.556072316002634, 2.7837495067029274]","[18.323318, 23.021551, 18.687042, 17.463787, 20.40293, 12.399696, 22.678288, 22.95694, 27.67822, 19.349121]","[0.23142534722222222, 0.12118359375, 0.16671961805555555, 0.1336271701388889, 0.27878776041666664, 0.3137638888888889, 0.16816189236111112, 0.13534678819444446, 0.1491098090277778, 0.1591987847222222]"
6,"[2.582517926579275, 0.6142380446521614, 2.405886172902031, 2.0544104899340585, 0.6577421839621209, 0.06359613376359796, 0.6664902986111194, 1.0566321169337414, 1.722400187804169, 1.589833236487756]","[19.59049788938362, 20.186138461769126, 10.605635955941253, 17.403241895740738, 15.380760384175655, 9.306320800313681, 6.577867938104401, 13.795835191345866, 12.312230022495646, 19.919835865593416]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.033593036264492, 3.7977857678123925, 1.5911436380464143, 3.5200668904758574, 2.5482971458647348, 0.5859165659568455, 2.0393836922112447, 3.016921348844185, 2.4067389536139254, 3.368856640544918]","[29.418785, 30.388615, 15.12023, 26.121851, 22.76888, 12.891502, 10.605451, 21.054945, 18.33976, 29.400398]","[0.18606119791666667, 0.16260243055555557, 0.34860677083333336, 0.18419010416666667, 0.19580555555555557, 0.35362586805555557, 0.08696527777777778, 0.14801302083333334, 0.2036484375, 0.20954166666666665]"
7,"[2.6549965995785527, 0.6509193659565469, 2.316929729710882, 4.597998137807611, 1.680143644940859, 4.221991690398529, 2.1319725094564603, 0.12913790833023775, 2.352446645586914, 0.18303523217391415]","[20.14030754445091, 21.39162261772092, 10.213497847726973, 20.18935025946996, 20.451623960627998, 19.108698210275328, 11.883912428575584, 13.309319043444937, 16.81598993149173, 22.03414278275348]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.146796304934464, 4.024583507234805, 1.5323118943666616, 3.6747134981437704, 3.6294337844359075, 3.7835024417697687, 1.6311401060368838, 2.2359787025397426, 3.287113539769398, 3.2311972429646065]","[30.480331, 32.4252, 14.695927, 29.69225, 30.571875, 28.432941, 17.057064, 19.960928, 25.247133, 32.581715]","[0.15201041666666668, 0.14728125, 0.26543836805555554, 0.2096449652777778, 0.1723845486111111, 0.1851736111111111, 0.26882378472222224, 0.16511241319444445, 0.165875, 0.19226128472222223]"
8,"[6.947901270181638, 17.096832621573274, 9.560657207005399, 14.185947271317819, 5.021779297561073, 14.060674634500216, 13.674633914826632, 11.146309492261938, 23.970358669090427, 20.205421601250148]","[10.668715724196996, 24.006737353869497, 24.070672235259003, 12.332752668121405, 17.1060483113618, 19.471579827131514, 10.508787002673792, 14.004574326761155, 19.794570901955794, 22.069762657530177]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.298812223110653, 4.79492828511374, 4.605535756406477, 2.3481060955653508, 3.398720391770498, 3.873366160671436, 2.113581711728117, 2.795499546728466, 4.0234003962954805, 4.013389920825107]","[20.920757, 46.9479, 45.5755, 24.926, 32.211575, 38.096226, 21.623375, 27.58621, 40.46708, 43.53201]","[0.17802213541666667, 0.20229600694444444, 0.17833984375, 0.26672829861111114, 0.16259288194444443, 0.20434027777777777, 0.2716644965277778, 0.21173394097222223, 0.25667534722222224, 0.24891970486111112]"
9,"[1.7683867185073687, 0.7104321924193719, 5.1037429132513985, 2.8217346389635196, 3.761055157792015, 14.315506960112486, 2.2199213958050503, 0.260072473153393, 2.7246547044892324, 12.215747518150215]","[13.414650841328502, 23.34743464481563, 12.849589748692576, 23.90336825482673, 12.925678480221867, 22.58655089090709, 12.374151800294248, 14.28731900675615, 19.47664409878738, 22.83563811281138]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.7620146523598486, 4.3925466565555205, 2.4585622065042, 4.834815011406582, 2.365953772456608, 4.303930970455125, 1.6984284763925783, 2.8740829023091026, 3.807206164324482, 3.8940922305367995]","[21.829002, 37.825623, 20.387781, 38.84451, 20.53322, 35.389824, 19.224808, 23.351553, 31.473972, 35.479706]","[0.20018880208333334, 0.2071801215277778, 0.2568871527777778, 0.20240755208333333, 0.24971744791666667, 0.30710633680555555, 0.29577734375, 0.1919609375, 0.21279296875, 0.31876171875]"
